1 100
2 815 471
3 1602 1104
4 876 457
5 1038 88
6 1833 1122
7 79 1035
8 1684 175
9 528 574
10 1654 221
11 1770 240
12 1261 217
13 1204 1919
14 1769 1016
15 981 1749
16 1950 446
17 1892 1753
18 953 772
19 1281 411
20 842 1869
21 1901 1780
22 251 1797
23 1642 1957
24 941 1574
25 1339 617
26 727 186
27 29 1786
28 1441 1502
29 975 1819
30 276 666
31 1272 623
32 1838 480
33 418 661
34 191 1364
35 1913 741
36 445 483
37 286 1854
38 951 1626
39 1296 1329
40 536 543
41 286 455
42 1600 621
43 1294 1099
44 967 1923
45 1021 1509
46 428 1119
47 1795 1851
48 1876 253
49 468 618
50 1669 600
51 486 1769
52 813 1557
53 289 1270
54 1228 1776
55 477 1336
56 454 1003
57 267 1005
58 1142 1297
59 1479 1481
60 1197 1044
61 582 1233
62 1359 1079
63 412 226
64 641 724
65 698 457
66 1297 1550
67 1441 1796
68 441 1237
69 1997 1139
70 1921 2
71 1939 143
72 1761 574
73 1280 1978
74 1729 695
75 468 984
76 1252 312
77 332 1933
78 1597 1023
79 1217 1429
80 502 1193
81 1417 962
82 1147 1960
83 1777 1991
84 1400 715
85 1061 137
86 36 631
87 132 1412
88 736 923
89 1637 1298
90 1799 1904
91 839 619
92 490 70
93 1056 624
94 302 988
95 1088 1619
96 1273 947
97 1338 381
98 1218 562
99 330 1714
100 1799 1791
101 1820 645
